"notation","title","description","id","title_en","description_en"
"","BT 2024","","p2u",,
"","BT Pilot 2024","","v6c",,
"","BT Pilot 2025","","h9g",,
"","BT Normierung 2026","","e4v",,
"","BT Normierung 2027","","y7c",,
"","BT 2028","","a5e",,
"","BT Pilot 2027","","q9r",,
"","BT 2029","","a6g",,
"","BT Normierung 2029","","s2r",,
"","BT 2030","","a6a",,
